company;playlist_sample;namesfiles;no;artist;song;sampleratefiles;totalsamplesfiles;durationfiles;bitratefiles;rmsfiles;rmsmedianfiles;lowenergyfiles;ASRfiles;beatspectrumfiles;eventdensityfiles;tempofiles;pulseclarityfiles;zerocrossfiles;rolloffsfiles;brightnessfiles;spreadfiles;centroidfiles;kurtosisfiles;flatnessfiles;entropyfiles;mfccfiles_1;mfccfiles_2;mfccfiles_3;mfccfiles_4;mfccfiles_5;mfccfiles_6;mfccfiles_7;mfccfiles_8;mfccfiles_9;mfccfiles_10;mfccfiles_11;mfccfiles_12;mfccfiles_13;pitchfiles;inharmonicityfiles;bestkeyfiles;keyclarityfiles;modalityfiles;tonalcentroidfiles_1;tonalcentroidfiles_2;tonalcentroidfiles_3;tonalcentroidfiles_4;tonalcentroidfiles_5;tonalcentroidfiles_6;chromagramfiles_1;chromagramfiles_2;chromagramfiles_3;chromagramfiles_4;chromagramfiles_5;chromagramfiles_6;chromagramfiles_7;chromagramfiles_8;chromagramfiles_9;chromagramfiles_10;chromagramfiles_11;chromagramfiles_12;attackslopefiles;attackleapfiles
Arte Francés;4;01 - Klischee - Swing It Like Roger.mp3                                                                                                       ;1; Klischee ; Swing It Like Roger.mp3                                                                                                       ;44100;8672822;196.662625;320;0.153897004;0.099993896;0.556390977;0.05764411;0.112104931;3.6;161.2077388;0.257781156;871.3480242;4114.860535;0.390318138;2702.716802;2206.610036;11.40871001;0.083721046;0.841979053;2.730147356;-0.23454269;0.058344676;-0.491341966;1.055989819;-0.116769917;0.409593384;-0.209962376;-0.471071212;0.02062083;0.144523728;0.227890959;0.099028508;0;0.485308505;11;0.703167858;-0.004322687;-0.715513856;0.867036274;-0.418846294;-1.003315018;0.270790997;-0.314869168;0.057654282;0.026867048;0.149049784;0.020906052;0.088079966;0.344720826;0;0.029989976;0;0.123955292;0.999999482;0.025800843;17.5734919;0.456036267
Arte Francés;4;01 - Klischee - Swing It Like Roger.mp3                                                                                                       ;1; Klischee ; Swing It Like Roger.mp3                                                                                                       ;44100;8672822;196.662625;320;0.219720316;0.086626787;0.446115288;0.385964912;0.075820192;2.4;127.9959511;0.546534336;1099.097508;8883.623886;0.52532204;4423.074403;3718.855188;4.265699719;0.234598171;0.903483962;1.99836961;-0.13725314;0.189507174;0.074495824;0.145173001;0.169913106;0.180854759;-0.00121824;0.009874623;0.05664139;0.028275121;0.005103998;-0.001925428;0;0.46063353;8;0.69645196;-0.038840344;-0.18983225;1.298678991;0.578951992;-0.580787435;0.281850344;-0.309505745;0.427335688;0.111581553;0.406177129;0.210301927;0.174507865;0.340706183;0.19161201;0.860170827;0.415158084;0.372546321;0.999999934;0.333313296;3.057560785;0.258181603
Arte Francés;4;01 - Klischee - Swing It Like Roger.mp3                                                                                                       ;1; Klischee ; Swing It Like Roger.mp3                                                                                                       ;44100;8672822;196.662625;320;0.285232019;0.192846455;0.523809524;0.155388471;0.061314445;4.4;127.9575921;0.647972121;973.8477917;9193.500137;0.528621783;4625.11024;3852.690545;4.234403888;0.2217756;0.899723559;2.005572886;0.107254513;0.299967771;0.146084483;0.06921399;0.056246636;0.229193324;-0.086424362;-0.000454583;0.056387932;0.010098749;0.008893101;0.003194573;0;0.467015005;8;0.628731763;-0.05358864;-0.297367455;1.070286057;0.37648361;-0.666989254;0.208290852;-0.407179389;0.207086971;0.098100626;0.414894816;0.181556228;0.151998339;0.348798711;0.194046243;0.831852005;0.58286642;0.444389117;0.999999925;0.254363831;20.06936975;0.229476726
Arte Francés;4;02 - Shazalakazoo - Sunny Side Of The Street.mp3                                                                                              ;2; Shazalakazoo ; Sunny Side Of The Street.mp3                                                                                              ;44100;11231507;254.6827;320;0.239453923;0.125522628;0.453634085;0.318295739;0.074501791;3.4;115.0115519;0.758819217;1676.796198;11532.54433;0.599186317;5208.187217;4996.665848;2.717868976;0.26716773;0.919449293;1.957583702;0.270778884;0.062224622;0.083824976;-0.12527301;0.170235919;0.416146179;0.130371994;-0.083638568;-0.09685067;0.006232134;-0.006025447;0.026178309;0;0.463297651;10;0.427222218;0.031015529;0.261014145;-0.379634684;-0.769735921;1.011995556;-0.304496534;0.266705593;0.187880006;0.115697847;0.120458534;0.157594255;0.183868818;0.046128356;0.047069902;0.10304332;0.912695692;0.999999843;0.104920524;0.13145255;6.403049909;0.169507748
Arte Francés;4;02 - Shazalakazoo - Sunny Side Of The Street.mp3                                                                                              ;2; Shazalakazoo ; Sunny Side Of The Street.mp3                                                                                              ;44100;11231507;254.6827;320;0.26347694;0.164616838;0.458646617;0.203007519;0.075098076;3.4;115.0569747;0.717291866;1528.746533;11320.15629;0.605139158;5151.383492;4925.950744;2.797688641;0.290039521;0.9188343;1.862357287;0.204406076;0.202070407;0.072778251;-0.133443103;0.126554063;0.343377715;0.096126804;-0.072397653;-0.079869466;-0.021853263;-0.003709646;0.024761726;0;0.467592359;10;0.437704909;0.042762207;0.26249204;-0.417428188;-0.790626118;1.026651919;-0.320470768;0.274111847;0.180432529;0.112338063;0.122366118;0.154635076;0.179866584;0.029338505;0.036758245;0.070648402;0.91617833;0.999999823;0.090701162;0.125766795;10.84584833;0.402227177
Arte Francés;4;02 - Shazalakazoo - Sunny Side Of The Street.mp3                                                                                              ;2; Shazalakazoo ; Sunny Side Of The Street.mp3                                                                                              ;44100;11231507;254.6827;320;0.247484703;0.149906918;0.486215539;0.255639098;0.066600159;3.8;115.0072226;0.681214305;1270.447119;10383.04138;0.539718787;4739.536804;4147.654224;3.193955193;0.216032115;0.9023881;2.121401078;0.085941755;0.305434932;0.185501865;0.036910755;-0.056700389;-0.034646036;-0.013640829;-0.054702086;-0.092224319;0.138345319;0.223759859;0.101932425;0;0.465238789;12;0.68190454;-0.251932139;0.580316485;-0.733349621;0.453165504;-0.170204227;-0.624591502;-0.225731659;0.199065423;0.191656859;0.472757705;0.20361671;0.293707032;0.396559754;0.336128698;0.087430947;0.291838372;0.249665485;0.145928652;0.999999945;23.76456184;0.261470576
Arte Francés;4;03 - Darren Fewins - If Swing Goes, I Go Too.mp3                                                                                              ;3; Darren Fewins ; If Swing Goes, I Go Too.mp3                                                                                              ;44100;8555337;193.998575;320;0.359064152;0.228080086;0.551378446;0.260651629;0.06367775;5.4;125.0030379;0.825222188;1920.845644;10644.46793;0.634516972;4546.616017;4729.056685;2.386625581;0.200027217;0.925693996;1.657914681;0.066790772;0.085512901;0.126310881;0.01030012;-0.091893994;-0.067185661;0.016399835;-0.006377886;-0.003088208;0.0378066;0.085864981;0.141566226;0;0.486950815;10;0.571092711;-0.200299804;0.870207061;-0.001112893;-0.36076228;0.652130567;-0.037994843;0.123692161;0.666429324;0.505494889;0.468310936;0.210137793;0.363380171;0.097900036;0.097936484;0.415326863;0.587612984;0.999999803;0.399044493;0.617167792;41.09422681;0.740954371
Arte Francés;4;03 - Darren Fewins - If Swing Goes, I Go Too.mp3                                                                                              ;3; Darren Fewins ; If Swing Goes, I Go Too.mp3                                                                                              ;44100;8555337;193.998575;320;0.104782635;0.029526658;0.571428571;0.523809524;0.057157635;0.9;125.2167164;0.741604955;778.0482357;8049.716949;0.471483997;3844.919301;3235.070532;3.539451253;0.106196791;0.882654874;2.46166086;0.22563199;0.311922948;0.629362426;0.067590455;-0.187319972;-0.080450643;0.101994819;0.125860917;-0.002563601;-0.128932377;-0.104138565;-0.078997573;0;0.456425721;1;0.636878619;0.005904383;1.420020569;1.548854079;0.551594777;0.172882673;-0.218370433;0.202727183;0.999999942;0.136263793;0.939721466;0.178567006;0.080219537;0.047581116;0.073752438;0.836083753;0.390925966;0.742643389;0.284788868;0.463432316;45.65029692;0.862460602
Arte Francés;4;03 - Darren Fewins - If Swing Goes, I Go Too.mp3                                                                                              ;3; Darren Fewins ; If Swing Goes, I Go Too.mp3                                                                                              ;44100;8555337;193.998575;320;0.34675398;0.217535935;0.553884712;0.235588972;0.071946543;4.7;124.9903099;0.768736202;1870.545758;10506.94141;0.624985108;4490.552471;4555.500909;2.592663099;0.199327703;0.925184255;1.649432649;-0.051842927;0.040029313;0.008297431;0.045172789;-0.080250306;-0.030978249;0.061598473;0.021094948;0.029821708;-0.0160655;-0.013713034;0.158628792;0;0.484446321;10;0.602325095;-0.194381192;1.084899031;-0.089800239;-0.194537095;0.884489101;-0.135748535;0.165255914;0.815576174;0.477407788;0.42381505;0.155795604;0.371721431;0.073807802;0.079303396;0.368094248;0.546500759;0.999999844;0.346190817;0.832788486;5.516365096;0.271266394
Arte Francés;4;04 - Odd Chap - Worldwide.mp3                                                                                                                 ;4; Odd Chap ; Worldwide.mp3                                                                                                                 ;44100;8091004;183.469475;320;0.318974608;0.146580398;0.56641604;0.403508772;0.053732656;3.7;128.1540914;0.921122043;1573.296432;10305.4882;0.614471897;4767.261573;4561.923288;3.195981001;0.293908927;0.916608526;1.395895855;0.23556353;0.451907596;0.118253019;0.183128845;-0.055306811;-0.055999309;0.08457203;0.252344072;0.289861471;-0.006357092;-0.067014273;-0.075631185;0;0.469462806;1;0.631543715;-0.013606507;-0.524472884;0.998371948;0.430669413;1.012435693;0.038163597;0.095815883;0.999999814;0.256382099;0.241853382;0.289730554;0.173018914;0.205126966;0.178169931;0.693081373;0.875854106;0.418560155;0.616413827;0.327926706;8.847914295;0.227072677
